epoch,train_total_loss,train_dice_loss,train_ce_loss,val_total_loss,val_dice_loss,val_ce_loss,val_dice,val_iou,val_asd,val_hd95
1,0.39794640942057696,0.35429174659442464,0.043654662727558316,0.6379872724190214,0.613876435591177,0.024110836935640888,0.832769027050568,0.8049962545705261,inf,inf
2,0.30808996675812883,0.2799507860637565,0.028139180674921847,0.6258811972140707,0.6047590750131553,0.021122124653943013,0.8617558583614895,0.8357486070021991,inf,inf
3,0.2871852611381785,0.26190535215931815,0.025279908922597863,0.6285598693628696,0.604975684778328,0.023584185409661295,0.8669784065000582,0.8413131477084854,inf,inf
4,0.2730026826848207,0.2495748028323087,0.023427879926305784,0.6207053827761374,0.6002527992005197,0.020452582970993515,0.8515261940257819,0.8247825163402385,inf,inf
5,0.26301323167292634,0.24051093209812846,0.022502299576297895,0.6165993251745182,0.5971140111141312,0.019485314686383835,0.8663998894140553,0.8400959633537846,inf,inf
6,0.2530473887072334,0.23187306559689166,0.02117432297651425,0.6129536506760076,0.5940291032223048,0.018924547530696258,0.8702440387276629,0.8437572867167635,inf,inf
7,0.24576698574862568,0.22571144842772417,0.020055537306413646,0.6175112221145383,0.5973283715028924,0.020182851218573526,0.8678694905681953,0.8414676374596624,inf,inf
8,0.23684595045127804,0.21781478150650654,0.019031168958447413,0.6134862945979465,0.5931627558610676,0.020323539370005937,0.8734895151503167,0.8473737234459168,inf,inf
9,0.22792668546270337,0.20947193102637252,0.018454754477709154,0.4404022365417087,0.4179184518432975,0.02248378494351977,0.8758978657325394,0.8496804968066048,inf,inf
10,0.22238579075422066,0.20010199603330472,0.02228379472113514,0.459541487935616,0.4286722441327952,0.030869243794490044,0.873031021319311,0.8484305423615024,inf,inf
11,0.21371304809191652,0.1931098252922374,0.02060322297582625,0.4499793197561272,0.42501966959987303,0.02495964997614497,0.8747870678583218,0.8486326700187609,inf,inf
12,0.20959518388641027,0.18929094871441635,0.020304235358653545,0.4454652026826848,0.42162652976293724,0.023838673264043223,0.8789146151295643,0.8527152285391681,inf,inf
13,0.2059784953164432,0.1863691299813918,0.01960936534115355,0.43695061032504795,0.414633389261829,0.022317220953774686,0.8775269692351487,0.8516451679016583,inf,inf
14,0.1984649699954098,0.17991659488170522,0.01854837513330279,0.44658673393905274,0.424972252203868,0.021614481571293497,0.8712380258221211,0.8450704983722542,inf,inf
15,0.1992875791908765,0.18043002844524517,0.01885755077633259,0.4515057596994833,0.4247432386338375,0.02676252104608653,0.8688109744845843,0.8424582941119194,inf,inf
16,0.19441816570309192,0.1766793822545866,0.017738783470422105,0.44191445868049956,0.41853723757486183,0.02337722076351974,0.8771866928772788,0.8510959061697588,inf,inf
17,0.18768678287576618,0.17085309123058132,0.016833691733336664,0.45238370493082347,0.4308325949126739,0.02155110934760615,0.8684471697840533,0.8419253185361697,inf,inf
18,0.183517972966848,0.16740839432229707,0.016109578577038233,0.4451853172472673,0.4237117986518044,0.021473519041653854,0.8812263584577525,0.8552722477322646,inf,inf
19,0.18139839223484489,0.16543628515351128,0.015962107095738375,0.4385229178667628,0.41714663068304364,0.021376288104326357,0.8818025092793433,0.8557357008042605,inf,inf
20,0.17936254632093832,0.1630472592960288,0.016315287052716808,0.29985218988923706,0.27398971634555264,0.025862473658685277,0.8820731581258316,0.8563073553471366,inf,inf
21,0.163074143693875,0.14582241134754204,0.017251732278149988,0.2792739986789747,0.2528413064484301,0.02643269234807841,0.8803905375643609,0.8545133114882415,inf,inf
22,0.15967503642465133,0.14312800086004826,0.016547035605705827,0.2717818651806151,0.24346423026097425,0.02831763516775378,0.883340081726291,0.8577482042143948,inf,inf
23,0.15647119620463182,0.1404956384977595,0.015975557632898228,0.2855984082281254,0.26059596774502053,0.02500243963633777,0.8825169884419544,0.8565849640711062,inf,inf
24,0.15321383536635866,0.1377267620400873,0.015487073242813251,0.27826040309258016,0.2526197466461117,0.025640656422920207,0.8810769715981914,0.8547389550766535,inf,inf
25,0.15297202292520864,0.1374771936842622,0.015494829223866732,0.27414159153153034,0.24840562081918482,0.025735970803669794,0.883513075771929,0.8574603884468127,inf,inf
26,0.1506463962665398,0.13561741739159752,0.015028978824499054,0.2744055909749407,0.24878808347190298,0.025617507682574876,0.8818196004759971,0.8556744749210633,inf,inf
27,0.15181594598577453,0.1369795407932218,0.01483640511493799,0.2923681729177876,0.2682620685610494,0.02410610424071186,0.8790116587751196,0.8526743540212813,inf,inf
28,0.14803155393055212,0.1332746432599699,0.014756910721357656,0.31074376988589875,0.28752148710540715,0.02322228221777982,0.8815949105793957,0.8555650003308656,inf,inf
29,0.1468057605881519,0.13224540540852006,0.014560355243017182,0.2797278080408166,0.2538020054462032,0.025925802892453467,0.8801458499218084,0.8539568140119779,inf,inf
30,0.14814608053019773,0.13350633959408686,0.014639740887778013,0.28700188480974587,0.261767992271044,0.02523389292822544,0.8809108060778116,0.8547650744431854,inf,inf
